unom,Наименование,Количество обращений
308,Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,6
308,Повреждение системы электропроводки/щитового оборудования,5
309,Нет связи с ПУ,479
309,Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,11
310,Загрязнение/замусоренность подъезда,5
310,Повреждение системы электропроводки/щитового оборудования,5
311,Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,6
311,Повреждение элементов входной двери,6
312,Отсутствуют актуальные мгновенные значения,48
312,Нет связи с УСПД,39
313,Засор канализации,8
313,Повреждение системы электропроводки/щитового оборудования,7
314,Отсутствуют актуальные мгновенные значения,63
314,Нет связи с УСПД,61
315,Повреждение системы электропроводки/щитового оборудования,7
315,Повреждение отделочных покрытий пола/стены/ступеней/перил/других элементов,4
316,Отсутствуют актуальные мгновенные значения,40
316,Отсутствуют актуальные суточные значения,22
317,Нет связи с ПУ,44
317,Низкий уровень сигнала GSM,41
320,Повреждение элементов входной двери,4
320,Повреждение системы электропроводки/щитового оборудования,3
364,Недогрев ГВС,33
364,Загрязнение/замусоренность подъезда,25
365,Отсутствуют актуальные мгновенные значения,153
365,Температура в квартире ниже нормативной,113
366,T1 > max,40
366,Отсутствует циркуляция ГВС,40
367,Отсутствие ХВС в доме,75
367,Отсутствие ГВС в доме,67
368,Отсутствие ГВС в доме,24
368,Отсутствуют актуальные мгновенные значения,24
369,Загрязнение/замусоренность подъезда,42
369,Отсутствие ГВС в доме,36
370,Отсутствуют актуальные мгновенные значения,23
370,Засор мусоропровода,21
371,Нет связи с ПУ,294
371,Температура в квартире ниже нормативной,54
372,Отсутствие освещения в местах общего пользования,13
372,Отсутствие ГВС в доме,12
373,Отсутствие освещения в местах общего пользования,23
373,Загрязнение/замусоренность подъезда,12
374,Недогрев ГВС,29
374,Отсутствуют актуальные мгновенные значения,20
375,Температура в квартире ниже нормативной,62
375,Недогрев ГВС,45
376,Отсутствие освещения в местах общего пользования,39
376,Лифт требует ремонта,31
377,Отсутствуют актуальные мгновенные значения,35
377,Отсутствие ХВС в доме,9
378,Лифт требует ремонта,61
378,Температура в квартире ниже нормативной,37
379,Лифт требует ремонта,15
379,Температура в квартире ниже нормативной,15
380,Недогрев ГВС,25
380,Лифт требует ремонта,23
381,Температура в квартире ниже нормативной,61
381,Лифт требует ремонта,10
382,Температура в квартире ниже нормативной,72
382,Отсутствие ГВС в доме,31
383,Отсутствие освещения в местах общего пользования,81
383,T1 > max,43
384,Температура в квартире ниже нормативной,31
384,Отсутствие освещения в местах общего пользования,20
385,Температура в квартире ниже нормативной,70
385,Засор мусоропровода,24
387,Температура в квартире ниже нормативной,46
387,Отсутствие освещения в местах общего пользования,33
388,Лифт требует ремонта,56
388,Отсутствие освещения в местах общего пользования,50
389,Температура в квартире ниже нормативной,48
389,Лифт требует ремонта,37
462,Отсутствие ХВС в доме,7
462,Температура в квартире ниже нормативной,7
463,Открыт шкаф УСПД,5
463,Отсутствуют актуальные мгновенные значения,5
464,Температура в квартире ниже нормативной,7
464,T1 > max,4
523,Температура в квартире ниже нормативной,42
523,Отсутствие освещения в местах общего пользования,30
524,Температура в квартире ниже нормативной,28
524,Отсутствие освещения в местах общего пользования,18
525,Аварийная протечка с кровли,9
525,Температура в квартире ниже нормативной,8
526,Аварийная протечка с кровли,99
526,Протечка с кровли,55
527,Аварийная протечка с кровли,49
527,Протечка с кровли,27
528,Отсутствует циркуляция ГВС,462
528,Аварийная протечка с кровли,78
530,Отсутствуют актуальные мгновенные значения,73
530,Нет связи с УСПД,41
531,Отсутствуют актуальные мгновенные значения,22
531,Отсутствие освещения в местах общего пользования,10
532,Низкий уровень сигнала GSM,33
532,Неочищенная кровля,9
533,Отсутствуют актуальные мгновенные значения,94
533,Нет связи с УСПД,39
534,Температура в квартире ниже нормативной,24
534,Отсутствие освещения в местах общего пользования,15
535,Аварийная протечка с кровли,38
535,Температура в квартире ниже нормативной,37
536,Нет питания УСПД,26
536,Отсутствуют актуальные мгновенные значения,24
537,Температура в квартире ниже нормативной,18
537,Отсутствие освещения в местах общего пользования,11
